CRUTEM4 716200 : KINGSTON temperature,,,,,,,,,,,,,,,,,
Lat:    44.20 (N)  Lon:   -76.60 (W)  Elevation (m):    93.00,,,,,,,,,,,,,,,,,
Start and End Years, and First Year Used (earlier years not considered reliable),,,,,,,,,,,,,,,,
  1872  2016  1872,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Please cite:,,,,,,,,,,,,,,,,,
Osborn & Jones (2014) Earth System Science Data (doi:10.5194/essd-6-61-2014),,,,,,,,,,,,,,,,,
Jones et al. (2012) J. Geophys. Res. (doi:10.1029/2011JD017139),,,,,,,,,,,,,,,,,
Missing code: -99.99,,,,,,,,,,,,,,,,,
Each seasonal mean requires all 3 months to have data,,,,,,,,,,,,,,,,,
Each annual mean requires all 12 months to have data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Year,    Jan,    Feb,    Mar,    Apr,    May,    Jun,    Jul,    Aug,    Sep,    Oct,    Nov,    Dec,    DJF,    MAM,    JJA,    SON, Annual
1961,-10.5,-4.8,-0.9,5.7,11.9,17.1,21.2,20.6,20.2,12.1,3.3,-3.8,-6.83,5.57,19.63,11.87,7.67
1962,-8.3,-9.3,-0.1,6.6,15.4,18.9,19.7,20.1,14.8,10,1.6,-5.6,-7.13,7.3,19.57,8.8,6.98
1963,-8.1,-10.5,-1.2,6.6,11.3,18.6,21.9,18.8,13.1,12.8,6,-10.4,-8.07,5.57,19.77,10.63,6.58
1964,-3.8,-6.1,-0.3,6.7,14.7,17.7,22.9,18.5,15.4,8.4,3.7,-3.4,-6.77,7.03,19.7,9.17,7.87
1965,-8.9,-7.2,-1.8,4.1,14.3,17.1,19.2,19.4,16.4,8.5,2.3,-1,-6.5,5.53,18.57,9.07,6.87
1966,-9.3,-6.7,0.5,6,10.6,18.7,22.1,20.6,14.6,9.2,5.3,-3.9,-5.67,5.7,20.47,9.7,7.31
1967,-2.6,-10.4,-2.5,6,9.8,19.9,21.3,20.6,15.7,10,1.6,-2,-5.63,4.43,20.6,9.1,7.28
1968,-10.8,-8.9,0.5,9.3,11.6,17.4,21.2,19.8,17.9,11.1,1.8,-6.9,-7.23,7.13,19.47,10.27,7
1969,-7.2,-5.1,-2.2,6.3,11.3,16.6,20.6,21,15.9,-99.99,3.2,-7.6,-6.4,5.13,19.4,-99.99,-99.99
1970,-12.4,-8,-2.5,6.9,12.7,17.8,21.3,21,16.5,11.3,4.6,-8.2,-9.33,5.7,20.03,10.8,6.75
1971,-10.7,-5.8,-3.5,4.6,12.2,18.3,20.3,19.5,-99.99,-99.99,-99.99,-99.99,-8.23,4.43,19.37,-99.99,-99.99
1972,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1973,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1974,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1975,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
